aX,aY,aZ,gX,gY,gZ
0.822,0.233,0.370,-15.930,-11.230,-9.949
0.821,0.221,0.349,-20.081,-6.897,-9.888
0.807,0.216,0.344,-18.860,-3.906,-10.010
0.805,0.240,0.371,-8.667,-2.747,-12.512
0.829,0.251,0.394,5.615,-2.991,-17.395
0.843,0.258,0.416,16.541,-3.906,-20.081
0.847,0.259,0.418,22.827,-5.920,-18.982
0.830,0.252,0.402,22.766,-8.301,-15.686
0.817,0.257,0.389,19.897,-10.071,-12.146
0.829,0.276,0.381,17.639,-11.597,-8.606
0.840,0.280,0.392,14.160,-12.817,-5.554
0.867,0.260,0.386,8.972,-13.000,-3.906
0.894,0.252,0.383,5.432,-13.184,-2.563
0.884,0.241,0.433,6.531,-12.573,-0.061
0.904,0.228,0.454,5.920,-9.827,2.563
0.878,0.241,0.459,1.831,-7.812,3.601
0.870,0.240,0.447,3.784,-7.874,1.648
0.859,0.250,0.424,6.714,-9.338,0.488
0.837,0.250,0.403,6.226,-9.766,0.671
0.823,0.251,0.389,6.897,-8.911,0.244

0.501,-0.127,0.817,-2.686,-1.648,0.244
0.494,-0.125,0.820,-1.892,-2.258,6.836
0.493,-0.126,0.817,-1.709,-1.160,11.169
0.501,-0.136,0.797,1.160,-0.366,10.315
0.516,-0.140,0.814,3.479,0.671,6.592
0.530,-0.136,0.860,2.808,2.686,3.235
0.533,-0.121,0.886,0.244,4.333,1.038
0.522,-0.115,0.919,-5.432,5.554,0.427
0.524,-0.127,0.901,-9.094,4.578,2.441
0.512,-0.150,0.859,-8.118,0.610,6.592
0.505,-0.170,0.836,-6.104,-2.014,12.268
0.490,-0.183,0.843,-4.761,-1.648,17.700
0.477,-0.193,0.886,-4.089,1.038,18.555
0.464,-0.224,0.940,-3.174,5.554,14.709
0.460,-0.275,0.983,-2.319,10.986,11.536
0.431,-0.334,1.078,2.014,18.372,14.832
0.402,-0.390,1.204,8.484,28.625,21.484
0.378,-0.518,1.332,4.944,39.368,25.513
0.367,-0.691,1.470,-6.042,50.354,23.437
0.349,-0.869,1.600,-6.653,60.425,20.264
0.277,-0.964,1.677,-3.845,68.909,20.630
0.153,-1.099,1.698,-2.869,76.965,23.743
0.052,-1.137,1.764,-6.348,85.938,33.081
-0.030,-1.105,1.814,-15.747,96.619,38.757
-0.188,-1.055,1.811,-30.273,107.666,38.513
-0.338,-0.978,1.816,-51.880,119.080,35.400
-0.430,-1.018,1.781,-72.815,135.315,30.701
-0.403,-1.008,1.807,-86.731,157.043,39.978
-0.481,-0.932,1.710,-108.704,177.917,57.983
-0.549,-0.834,1.372,-131.653,190.491,78.613
-0.750,-0.569,1.119,-145.386,198.181,113.220
-0.988,-0.252,1.041,-154.907,218.323,162.842
-0.738,-0.234,0.898,-163.391,265.808,202.332
-0.182,-0.572,0.809,-187.195,280.334,223.633
0.195,-0.971,0.888,-213.745,284.607,238.159
0.370,-1.231,0.634,-205.261,282.532,236.755
0.299,-1.095,-0.050,-170.532,244.751,196.289
0.180,-0.715,-1.049,-132.202,185.974,126.221
0.354,-0.064,-2.346,-90.698,141.174,59.875
0.658,0.783,-3.495,-83.191,130.493,31.128
1.061,1.716,-3.867,-118.591,153.625,57.861
1.515,2.269,-3.894,-180.725,197.510,107.788
1.997,2.789,-2.957,-225.891,236.938,142.029
2.207,2.833,-1.952,-227.173,254.700,148.437
2.000,2.713,-1.261,-218.262,225.891,131.104
1.584,2.561,-0.707,-170.349,173.828,48.523
1.460,2.374,-0.002,-72.266,141.357,-71.838
1.629,2.043,0.692,47.974,128.601,-190.979
1.735,1.439,0.999,137.207,111.511,-227.356
1.392,0.796,0.561,155.762,76.660,-124.084
0.790,0.119,-0.186,119.080,26.672,7.751
0.271,-0.284,-0.602,39.001,-27.466,117.065
-0.006,-0.555,-0.635,13.062,-41.016,166.992
-0.121,-0.502,-0.439,29.175,-50.110,166.748
-0.132,-0.351,-0.519,70.129,-52.063,145.081
0.019,-0.293,-0.611,121.460,-31.860,107.544
0.244,-0.127,-0.343,120.850,-10.925,53.528
0.511,0.059,-0.050,88.318,14.404,-19.348
0.735,0.294,0.152,68.115,32.776,-91.614
0.896,0.469,0.208,64.758,39.612,-142.639
0.914,0.571,0.243,67.444,41.443,-153.076
0.866,0.598,0.164,62.378,40.283,-121.094
0.727,0.490,0.038,52.612,32.043,-72.021
0.620,0.326,-0.123,37.476,7.935,-25.574
0.551,0.233,-0.178,25.269,-25.085,10.742
0.604,0.165,-0.187,19.836,-46.387,32.288
0.688,0.138,-0.170,8.240,-46.143,36.377
0.737,0.129,-0.115,-7.080,-42.053,28.503
0.786,0.131,-0.054,-18.188,-36.011,11.841
0.848,0.203,0.005,-28.198,-21.667,-4.028
0.885,0.300,0.019,-37.720,-6.348,-18.311
