aX,aY,aZ,gX,gY,gZ
0.551,-0.206,-0.814,-116.333,-82.703,-41.748
0.565,-0.245,-0.760,-120.850,-87.280,-47.485
0.550,-0.270,-0.701,-122.559,-92.285,-52.917
0.541,-0.286,-0.644,-122.620,-96.375,-57.373
0.509,-0.305,-0.598,-120.605,-98.450,-59.937
0.465,-0.297,-0.554,-117.432,-98.755,-59.875
0.436,-0.314,-0.527,-112.854,-96.497,-58.533
0.421,-0.348,-0.542,-107.117,-91.553,-54.810
0.412,-0.378,-0.590,-103.699,-85.388,-48.157
0.411,-0.402,-0.642,-104.858,-78.735,-39.185
0.435,-0.430,-0.691,-110.962,-72.510,-28.931
0.490,-0.443,-0.717,-121.826,-67.932,-18.982
0.565,-0.459,-0.704,-135.315,-66.345,-12.756
0.641,-0.487,-0.656,-149.231,-70.374,-11.292
0.669,-0.492,-0.563,-160.889,-79.712,-13.916
0.657,-0.480,-0.439,-167.847,-92.468,-19.714
0.624,-0.483,-0.334,-166.931,-104.553,-26.306
0.574,-0.482,-0.269,-160.339,-113.953,-31.555
0.521,-0.481,-0.246,-150.391,-119.202,-35.217

-0.437,0.312,1.923,229.004,44.312,45.837
-0.435,0.281,1.828,253.662,64.697,57.068
-0.423,0.242,1.706,273.621,86.853,71.228
-0.391,0.230,1.601,288.208,109.375,84.656
-0.363,0.249,1.499,298.950,130.005,97.839
-0.327,0.249,1.415,309.265,146.606,108.521
-0.286,0.224,1.331,322.693,160.461,115.112
-0.245,0.218,1.275,335.876,172.180,120.483
-0.155,0.166,1.259,346.252,177.734,125.977
-0.032,0.072,1.205,359.863,178.955,133.240
0.062,0.025,1.080,377.502,181.274,142.517
0.106,0.007,0.939,393.799,187.561,149.719
0.164,-0.043,0.796,404.663,195.068,150.940
0.588,-0.654,0.497,417.114,201.660,143.555
0.841,-1.020,0.516,434.265,205.566,130.066
0.604,-0.666,0.542,401.611,190.552,121.826
0.395,-0.531,0.685,359.863,156.799,99.487
0.187,-0.393,0.859,332.275,140.076,77.026
0.041,-0.251,0.926,324.951,143.005,65.369
-0.098,-0.178,0.920,337.646,154.602,64.880
-0.168,-0.154,0.728,368.896,170.715,72.937
-0.233,-0.084,0.496,401.184,188.904,88.928
-0.215,-0.080,0.329,422.119,204.041,105.286
-0.098,-0.139,0.209,428.040,209.473,116.394
0.045,-0.189,0.143,415.588,199.585,122.192
0.183,-0.263,0.130,389.160,176.453,118.958
